# 5 kg/s Parallel,10 kg/s Parallel,15 kg/s Parallel,20 kg/s Parallel,25 kg/s Parallel,30 kg/s Parallel,5 kg/s Non-Parallel,10 kg/s Non-Parallel,15 kg/s Non-Parallel,20 kg/s Non-Parallel,25 kg/s Non-Parallel,30 kg/s Non-Parallel
4.773284872155002745e+01,1.023383286178733584e+02,1.629745048223467165e+02,2.292812605490962028e+02,3.010367700092826340e+02,3.780870191988465763e+02,4.283296758109869984e+01,9.634835729347864230e+01,1.586240093315117008e+02,2.287167616175534306e+02,3.060099981920794789e+02,3.900609803898216228e+02
4.763954494255577998e+01,1.019630739014920806e+02,1.621246618627976375e+02,2.277596658078621488e+02,2.986416235430983193e+02,3.746119793881031228e+02,4.270054531117610708e+01,9.587478786330966329e+01,1.576466996120160786e+02,2.270942138721212871e+02,3.036095181593834695e+02,3.867520058133894736e+02
4.756693077053353136e+01,1.016709983018270123e+02,1.614630599465261014e+02,2.265747501189054560e+02,2.967757207259180063e+02,3.719035410611986663e+02,4.259704386319420877e+01,9.550404807555733555e+01,1.568816486222367814e+02,2.258254859033041839e+02,3.017357944727979202e+02,3.841745609434261155e+02
4.750931245666155434e+01,1.014392203336598044e+02,1.609379551407699864e+02,2.256340655221109444e+02,2.952939333236234347e+02,3.697518199403883159e+02,4.251463516296259115e+01,9.520845863235317097e+01,1.562716587819351162e+02,2.248147679934983785e+02,3.002452233632303091e+02,3.821277364900512339e+02
4.746282816642389690e+01,1.012522173576645770e+02,1.605142322990926687e+02,2.248748430356905601e+02,2.940976652713282533e+02,3.680141294984491651e+02,4.244796617222903734e+01,9.496904833743023744e+01,1.557775640114022906e+02,2.239966222591584994e+02,2.990400380417861470e+02,3.804752009909686308e+02
4.742478366260264977e+01,1.010991581209749484e+02,1.601673817750337321e+02,2.242532527716228401e+02,2.931180335104213555e+02,3.665907228854294431e+02,4.239327731269408872e+01,9.477246529254642837e+01,1.553718147679173853e+02,2.233251121444472460e+02,2.980517918832088640e+02,3.791217832160104990e+02
4.739325295301423324e+01,1.009722987816378321e+02,1.598798758890474687e+02,2.237379391431558417e+02,2.923057370336764507e+02,3.654101708578729699e+02,4.234786618982831641e+01,9.460909403168359688e+01,1.550345773282041932e+02,2.227672194086485717e+02,2.972313979689766938e+02,3.779994018026316098e+02
4.736682966226492653e+01,1.008659840756737225e+02,1.596389115698302703e+02,2.233059913475011626e+02,2.916247383239962687e+02,3.644202360113933423e+02,4.230975040992714753e+01,9.447186909941493127e+01,1.547512801314205149e+02,2.222987170621587154e+02,2.965429076200424561e+02,3.770583065957752638e+02
4.734446745396176937e+01,1.007760061067710780e+02,1.594349607178869235e+02,2.229403544563152479e+02,2.910482014634606571e+02,3.635820025722041464e+02,4.227744936649705920e+01,9.435550559835151319e+01,1.545110243549057145e+02,2.219015032601602968e+02,2.959595042319913887e+02,3.762614563423454683e+02
4.732537483329885220e+01,1.006991815739490335e+02,1.592608141197812870e+02,2.226281212213159222e+02,2.905558106690197633e+02,3.628659989066596836e+02,4.224983937767972719e+01,9.425598734612211160e+01,1.543055274767755236e+02,2.215618332145195950e+02,2.954608539459862868e+02,3.755808111473212421e+02
4.730894413791155984e+01,1.006330663552554370e+02,1.591109358173607120e+02,2.223593781241093552e+02,2.901319580199814823e+02,3.622495755086670783e+02,4.222605531698516046e+01,9.417021864984521073e+01,1.541284049289101574e+02,2.212691191768460897e+02,2.950313119142908249e+02,3.749948287138841465e+02
