# 5 kg/s Parallel,10 kg/s Parallel,15 kg/s Parallel,20 kg/s Parallel,25 kg/s Parallel,30 kg/s Parallel,5 kg/s Non-Parallel,10 kg/s Non-Parallel,15 kg/s Non-Parallel,20 kg/s Non-Parallel,25 kg/s Non-Parallel,30 kg/s Non-Parallel
4.316622712791589947e+03,8.640354235314340258e+03,1.297045463233105875e+04,1.730663243741701444e+04,2.164871679220748774e+04,2.599659313387694056e+04,3.535864889842729099e+03,7.083843614109497139e+03,1.064271390932303257e+04,1.421199628408786339e+04,1.779140976587117621e+04,2.138076538026415074e+04
4.316529711040768234e+03,8.639982227864857123e+03,1.296961761437873429e+04,1.730514440306276447e+04,2.164639173423197644e+04,2.599324504352402801e+04,3.535707497020961910e+03,7.083215018605303158e+03,1.064130163941249339e+04,1.420948913868946147e+04,1.778749778006750785e+04,2.137513980235642157e+04
4.316457333809928059e+03,8.639692718594196776e+03,1.296896621759252230e+04,1.730398636243260626e+04,2.164458229240112269e+04,2.599063944193832504e+04,3.535585000513921386e+03,7.082725760729676040e+03,1.064020235044130095e+04,1.420753749226990658e+04,1.778445236712857150e+04,2.137076011397505863e+04
4.316399904692885684e+03,8.639463001850384899e+03,1.296844935418298701e+04,1.730306749264155223e+04,2.164314655569610841e+04,2.598857197683606864e+04,3.535487798375523653e+03,7.082337510475690578e+03,1.063932996685879516e+04,1.420598861029107502e+04,1.778203532156258734e+04,2.136728392633903422e+04
4.316353573811793467e+03,8.639277678103615472e+03,1.296803237515889668e+04,1.730232619538212384e+04,2.164198827658436494e+04,2.598690405148712307e+04,3.535409377483516437e+03,7.082024264754620162e+03,1.063862608749602623e+04,1.420473885110644915e+04,1.778008498292526201e+04,2.136447884480516586e+04
4.316315655380554745e+03,8.639126004196605209e+03,1.296769110838201959e+04,1.730171949789394785e+04,2.164104031000382747e+04,2.598553897680452064e+04,3.535345193624965304e+03,7.081767879315500068e+03,1.063804995743447216e+04,1.420371588164613968e+04,1.777848851456347984e+04,2.136218264499919678e+04
4.316284229512491038e+03,8.639000300573463392e+03,1.296740827482699206e+04,1.730121668185950330e+04,2.164025465849488319e+04,2.598440763630472065e+04,3.535291998177436199e+03,7.081555381894244420e+03,1.063757243646181632e+04,1.420286797871802264e+04,1.777716522379503294e+04,2.136027930624513465e+04
4.316257894329378360e+03,8.638894959714563811e+03,1.296717125755670713e+04,1.730079531713151300e+04,2.163959627488772821e+04,2.598345956195998224e+04,3.535247418872528669e+03,7.081377298999682353e+03,1.063717224237810478e+04,1.420215736436297266e+04,1.777605616975160228e+04,2.135868407715496869e+04
4.316235606864945112e+03,8.638805809749819673e+03,1.296697066985019956e+04,1.730043871617868353e+04,2.163903908486655564e+04,2.598265720667843561e+04,3.535209690694355231e+03,7.081226581760970475e+03,1.063683353899820031e+04,1.420155592624252495e+04,1.777511748933439230e+04,2.135733388323467079e+04
4.316216578189230859e+03,8.638729694955593004e+03,1.296679941131913074e+04,1.730013425606779492e+04,2.163856336506165098e+04,2.598197216874950391e+04,3.535177478469458947e+03,7.081097897696486143e+03,1.063654434565425800e+04,1.420104239531283747e+04,1.777431599533338158e+04,2.135618099952773991e+04
4.316200202619187621e+03,8.638664192596766952e+03,1.296665203080172432e+04,1.729987224582860654e+04,2.163815397330421547e+04,2.598138264340515161e+04,3.535149757106978086e+03,7.080987152581842565e+03,1.063629546334175939e+04,1.420060044010656020e+04,1.777362620388152573e+04,2.135518877743308985e+04
4.316186008918091829e+03,8.638607417724180777e+03,1.296652428715630776e+04,1.729964514564138153e+04,2.163779912860392869e+04,2.598087166598474141e+04,3.535125729032482923e+03,7.080891160785126885e+03,1.063607973425732962e+04,1.420021735256906504e+04,1.777302828446089188e+04,2.135432869751603357e+04
4.316173626010517182e+03,8.638557886034421244e+03,1.296641284069549693e+04,1.729944701827441531e+04,2.163748955401914645e+04,2.598042587766475117e+04,3.535104766177028068e+03,7.080807413629728217e+03,1.063589152148173343e+04,1.419988312454617881e+04,1.777250661920181665e+04,2.135357829813870558e+04
4.316162758480369121e+03,8.638514415861644011e+03,1.296631503266732398e+04,1.729927313704972767e+04,2.163721786410178174e+04,2.598003464337811602e+04,3.535086368516774655e+03,7.080733913833812949e+03,1.063572633706807392e+04,1.419958978763855885e+04,1.777204877298261999e+04,2.135291969463853093e+04
4.316153168786787319e+03,8.638476057041258173e+03,1.296622872519840894e+04,1.729911970129726251e+04,2.163697812029411944e+04,2.597968941158409143e+04,3.535070133978897047e+03,7.080669055331786694e+03,1.063558057206133162e+04,1.419933093396240656e+04,1.777164474572693871e+04,2.135233850420571616e+04
4.316144664172657031e+03,8.638442038543864328e+03,1.296615218347016162e+04,1.729898362689010173e+04,2.163676550363863498e+04,2.597938324296959763e+04,3.535055736287028139e+03,7.080611534798418688e+03,1.063545129772943255e+04,1.419910136330156092e+04,1.777128642187170044e+04,2.135182305424024526e+04
4.316137086902062947e+03,8.638411729425120939e+03,1.296608398785571626e+04,1.729886239004297749e+04,2.163657607071375969e+04,2.597911045899580131e+04,3.535042908439859275e+03,7.080560285666330856e+03,1.063533611732227473e+04,1.419889681994485545e+04,1.777096715975174084e+04,2.135136379188083811e+04
4.316130306893389388e+03,8.638384609357844965e+03,1.296602296761737853e+04,1.729875390944093670e+04,2.163640656945868977e+04,2.597886637668575349e+04,3.535031430243274372e+03,7.080514428331147428e+03,1.063523305419489407e+04,1.419871379407271888e+04,1.777068148169085180e+04,2.135095283833676149e+04
4.316124216098876786e+03,8.638360246150512467e+03,1.296596815032269842e+04,1.729865645631245570e+04,2.163625429866306513e+04,2.597864710628833927e+04,3.535021118798164480e+03,7.080473232159680265e+03,1.063514046644736663e+04,1.419854937021333899e+04,1.777042483753154374e+04,2.135058364881968737e+04
4.316118724173116789e+03,8.638338278421086216e+03,1.296591872286106081e+04,1.729856858512512190e+04,2.163611699967816821e+04,2.597844939534279547e+04,3.535011821169386167e+03,7.080436086209180758e+03,1.063505698113418111e+04,1.419840111043872821e+04,1.777019342236870943e+04,2.135025075041867967e+04
4.316113755103409858e+03,8.638318402118391532e+03,1.296587400111623901e+04,1.729848907967024570e+04,2.163599277217462077e+04,2.597827050736902675e+04,3.535003408682437566e+03,7.080402476447045956e+03,1.063498144307915027e+04,1.419826696348908627e+04,1.776998403473945655e+04,2.134994953815271583e+04
4.316109244565307563e+03,8.638300359944307274e+03,1.296583340616663190e+04,1.729841691075237031e+04,2.163588000803121031e+04,2.597810812666801576e+04,3.534995772447636227e+03,7.080371967873246831e+03,1.063491287470433781e+04,1.419814519345047847e+04,1.776979396532326791e+04,2.134967611489877163e+04
4.316105137830379135e+03,8.638283932984897547e+03,1.296579644545523297e+04,1.729835120271296546e+04,2.163577733902920590e+04,2.597796028300053513e+04,3.534988819818773663e+03,7.080344190374921709e+03,1.063485044424565785e+04,1.419803432332110970e+04,1.776962090887489467e+04,2.134942716473096152e+04
4.316101388098281859e+03,8.638268934038507723e+03,1.296576269777773814e+04,1.729829120674325168e+04,2.163568359515261909e+04,2.597782529154004806e+04,3.534982471569900554e+03,7.080318827449157652e+03,1.063479344041190416e+04,1.419793309001818852e+04,1.776946289400873502e+04,2.134919985193241155e+04
4.316097955157446449e+03,8.638255202258646023e+03,1.296573180122902340e+04,1.729823627945522094e+04,2.163559777110590221e+04,2.597770170465808405e+04,3.534976659628358448e+03,7.080295607147658302e+03,1.063474125203693620e+04,1.419784040824875228e+04,1.776931822681596532e+04,2.134899173990141935e+04
4.316094804302504599e+03,8.638242598823753724e+03,1.296570344346006641e+04,1.729818586556084119e+04,2.163551899924979443e+04,2.597758827295156880e+04,3.534971325242303919e+03,7.080274294757032294e+03,1.063469335163122014e+04,1.419775534130391497e+04,1.776918544528559141e+04,2.134880072559476685e+04
4.316091905453718027e+03,8.638231003414666702e+03,1.296567735375245502e+04,1.729813948378219357e+04,2.163544652758620214e+04,2.597748391354090563e+04,3.534966417490206368e+03,7.080254686844444223e+03,1.063464928200150644e+04,1.419767707730104667e+04,1.776906328222663797e+04,2.134862498619860344e+04
4.316089232436400380e+03,8.638220311332546771e+03,1.296565329653333720e+04,1.729809671532237189e+04,2.163537970174376460e+04,2.597738768412951322e+04,3.534961892061030085e+03,7.080236606385309642e+03,1.063460864530185972e+04,1.419760490974207460e+04,1.776895063492668851e+04,2.134846293548685935e+04
4.316086762387963063e+03,8.638210431126963158e+03,1.296563106603906999e+04,1.729805719437863809e+04,2.163531795015458920e+04,2.597729876165791575e+04,3.534957710250635500e+03,7.080219898753863163e+03,1.063457109402366405e+04,1.419753822151506938e+04,1.776884654018328365e+04,2.134831318790802470e+04
4.316084475267466587e+03,8.638201282633974188e+03,1.296561048190052134e+04,1.729802060029442873e+04,2.163526077179194908e+04,2.597721642464593242e+04,3.534953838131438260e+03,7.080204428406359511e+03,1.063453632354211732e+04,1.419747647165927447e+04,1.776875015364822684e+04,2.134817452887451145e+04
4.316082353447781315e+03,8.638192795345066770e+03,1.296559138547319708e+04,1.729798665103444728e+04,2.163520772597486939e+04,2.597714003851190864e+04,3.534950245862086376e+03,7.080190076123454674e+03,1.063450406591909086e+04,1.419741918436089873e+04,1.776866073265338491e+04,2.134804589005983871e+04
