# 5 kg/s Parallel,10 kg/s Parallel,15 kg/s Parallel,20 kg/s Parallel,25 kg/s Parallel,30 kg/s Parallel,35 kg/s Parallel,40 kg/s Parallel,45 kg/s Parallel,50 kg/s Parallel,5 kg/s Non-Parallel,10 kg/s Non-Parallel,15 kg/s Non-Parallel,20 kg/s Non-Parallel,25 kg/s Non-Parallel,30 kg/s Non-Parallel,35 kg/s Non-Parallel,40 kg/s Non-Parallel,45 kg/s Non-Parallel,50 kg/s Non-Parallel
4.813037411602275739e+01,1.039366369356354198e+02,1.665922003050268927e+02,2.357534160011744575e+02,3.112144720476722455e+02,3.928363041613169457e+02,4.805185160516239193e+02,5.741854423603560917e+02,6.737782772514246972e+02,7.792502377600478667e+02,4.339034153038467423e+01,9.833385430047000852e+01,1.627246773270742608e+02,2.355482125033131808e+02,3.161657313399378495e+02,4.041362615135727197e+02,4.991386524208206197e+02,6.009303586946731457e+02,7.093232029018911362e+02,8.241680887044368546e+02
4.798516596731582240e+01,1.033528941526275418e+02,1.652712832437845236e+02,2.333911536691498156e+02,3.075014691114913035e+02,3.874584203461861875e+02,4.731573823603643518e+02,5.645189572571136978e+02,6.614810601353982520e+02,7.639940328146657293e+02,4.318798443957403776e+01,9.761429335438303667e+01,1.612377252351634525e+02,2.330665840632005938e+02,3.124677291841346687e+02,3.989979121627897598e+02,4.923301059150733181e+02,5.922143593499980625e+02,6.984546074295102471e+02,8.108939215167683869e+02
4.786994326210640338e+01,1.028896233719934372e+02,1.642226888846166730e+02,2.315151881649073573e+02,3.045514507310319345e+02,3.831833488925609004e+02,4.673023164661906890e+02,5.568253994054905434e+02,6.516873241571784092e+02,7.518355828203614237e+02,4.302641058694125320e+01,9.703875743948856325e+01,1.600491528042402365e+02,2.310866019916459209e+02,3.095243161070996507e+02,3.949184580088233929e+02,4.869379815560183715e+02,5.853272765017989059e+02,6.898839317019379678e+02,8.004445043076320871e+02
4.777698452248765193e+01,1.025158210599730921e+02,1.633764077023547827e+02,2.300006733155752556e+02,3.021688551769821629e+02,3.797289307595580112e+02,4.625687088458290646e+02,5.506019041400502374e+02,6.437602047051132104e+02,7.419883435585545612e+02,4.289538893205862990e+01,9.657131187814029261e+01,1.590841791652634356e+02,2.294814700709651731e+02,3.071429553583705001e+02,3.916253006527377352e+02,4.825947918667832255e+02,5.797915108919343083e+02,6.830079473842846483e+02,7.920752507921065444e+02
4.770090262485156529e+01,1.022098509638218076e+02,1.626835618186472345e+02,2.287604001056667755e+02,3.002169957147480659e+02,3.768978319393813194e+02,4.586874116179511702e+02,5.454963644233367859e+02,6.372535238224979821e+02,7.339009953931403061e+02,4.278769897984153658e+01,9.618655962223695610e+01,1.582900912738218437e+02,2.281621508854782974e+02,3.051889529109913042e+02,3.889283489498510562e+02,4.790449320072508499e+02,5.752755148800798679e+02,6.774084879592033985e+02,7.852705106777963238e+02
4.763784644321125228e+01,1.019562423554034893e+02,1.621091886007468474e+02,2.277319571355647554e+02,2.985979977377586465e+02,3.745486676278584923e+02,4.554654707232228930e+02,5.412562014996369726e+02,6.318470376622235563e+02,7.271776119762093913e+02,4.269812880449653392e+01,9.586613815598036581e+01,1.576288500805098920e+02,2.270645989206777813e+02,3.035657479876798561e+02,3.866917413922536753e+02,4.761061779692504956e+02,5.715433971643092264e+02,6.727884882616067443e+02,7.796643763896543078e+02
4.758500378704529510e+01,1.017436959239757357e+02,1.616277440272936587e+02,2.268697260201148254e+02,2.972402848551431020e+02,3.725779839193094176e+02,4.527616151443939998e+02,5.376963803875328267e+02,6.273060031509752434e+02,7.215278082249772069e+02,4.262284119867403831e+01,9.559650500379598270e+01,1.570724408961906136e+02,2.261417732939202949e+02,3.022026299192957026e+02,3.848162683531555217e+02,4.736457903543167163e+02,5.684236706630468916e+02,6.689323333486375986e+02,7.749915892932328916e+02
4.754028235812214120e+01,1.015638034606672306e+02,1.612202143453055214e+02,2.261397371523948152e+02,2.960905326297509532e+02,3.709086669155836375e+02,4.504704832081017116e+02,5.346788198723525056e+02,6.234551426832465495e+02,7.167346348388192609e+02,4.255896120105005309e+01,9.536749634863261349e+01,1.565998596159488443e+02,2.253584844766963613e+02,3.010468430095045846e+02,3.832281041868823195e+02,4.715652232297510977e+02,5.657892755886771283e+02,6.656805267494013378e+02,7.710561814782272450e+02
4.750209942263914087e+01,1.014102035927131169e+02,1.608722106596574690e+02,2.255162744480572030e+02,2.951083552393076275e+02,3.694822849170491281e+02,4.485121966041631936e+02,5.320987777352326020e+02,6.201614231119563101e+02,7.126333366569441523e+02,4.250430092055675857e+01,9.517136464242723548e+01,1.561951070924164640e+02,2.246879788550571959e+02,3.000583725980215490e+02,3.818713862729222797e+02,4.697900728554284910e+02,5.635444645710972509e+02,6.629130725303112968e+02,7.677109119931466239e+02
4.746923983399707225e+01,1.012780117470660599e+02,1.605726819449810421e+02,2.249795809978639909e+02,2.942627131789466262e+02,3.682539084366368911e+02,4.468253045245755288e+02,5.298756327940837991e+02,6.173223916218427121e+02,7.090969604793244798e+02,4.245717185413193562e+01,9.500212143277545351e+01,1.558458231254373629e+02,2.241096208396798204e+02,2.992064184814476562e+02,3.807032092678776962e+02,4.682633113414598824e+02,5.616159863423461047e+02,6.605383142525140556e+02,7.648434629838517367e+02
